time,v00,v010,v011,v012,v020,v021,v022,total
2006-02-08,3,285,86,0,0,0,0,374
2006-02-09,3,281,87,0,0,0,0,372
2006-02-10,3,278,87,0,0,0,0,369
2006-02-11,3,281,91,0,0,0,0,377
2006-02-12,4,282,93,0,0,0,0,381
2006-02-13,5,289,93,0,0,0,0,387
2006-02-14,3,273,90,0,0,0,0,367
2006-02-15,4,303,97,0,0,0,0,405
2006-02-16,4,307,103,0,0,0,0,415
2006-02-17,4,310,110,0,0,0,0,425
2006-02-18,5,312,106,0,0,0,0,423
2006-02-19,5,317,102,0,0,0,0,425
2006-02-20,5,333,102,0,0,0,0,440
2006-02-21,4,333,105,0,0,0,0,443
2006-02-22,4,324,106,0,0,0,0,435
2006-02-23,4,324,104,0,0,0,0,432
2006-02-24,4,332,107,0,0,0,0,444
2006-02-25,4,335,106,0,0,0,0,445
2006-02-26,4,332,103,0,0,0,0,439
2006-02-27,4,342,107,0,0,0,0,454
2006-02-28,4,339,108,0,0,0,0,451
2006-03-01,4,339,105,0,0,0,0,448
2006-03-02,4,340,108,0,0,0,0,452
2006-03-03,3,348,103,0,0,0,0,456
2006-03-04,4,339,101,0,0,0,0,445
2006-03-05,4,338,102,0,0,0,0,445
2006-03-06,4,338,103,0,0,0,0,446
2006-03-07,4,329,109,0,0,0,0,442
2006-03-08,4,325,107,0,0,0,0,437
2006-03-09,4,319,104,0,0,0,0,428
2006-03-10,4,317,106,0,0,0,0,427
2006-03-11,4,319,104,0,0,0,0,427
2006-03-12,4,319,110,0,0,0,0,434
2006-03-13,4,328,113,0,0,0,0,445
2006-03-14,4,305,117,0,0,0,0,426
2006-03-15,4,311,118,0,0,0,0,434
2006-03-16,4,318,115,0,0,0,0,438
2006-03-17,4,311,117,0,0,0,0,433
2006-03-18,4,313,116,0,0,0,0,434
2006-03-19,4,319,117,0,0,0,0,441
2006-03-20,4,327,123,0,0,0,0,454
2006-03-21,4,329,123,0,0,0,0,457
2006-03-22,5,330,123,0,0,0,0,459
2006-03-23,5,331,123,0,0,0,0,459
2006-03-24,6,331,123,0,0,0,0,460
2006-03-25,6,329,124,0,0,0,0,459
2006-03-26,5,325,121,0,0,0,0,452
2006-03-27,6,335,125,0,0,0,0,466
2006-03-28,5,336,125,0,0,0,0,467
2006-03-29,5,335,130,0,0,0,0,471
2006-03-30,5,334,127,0,0,0,0,467
2006-03-31,5,320,128,0,0,0,0,454
2006-04-01,6,343,129,0,0,0,0,479
2006-04-02,6,338,129,0,0,0,0,473
2006-04-03,6,343,126,0,0,0,0,476
2006-04-04,5,336,129,0,0,0,0,472
2006-04-05,6,346,132,0,0,0,0,484
2006-04-06,6,345,126,0,0,0,0,478
2006-04-07,6,344,122,0,0,0,0,472
2006-04-08,5,336,124,0,0,0,0,466
2006-04-09,5,330,134,0,0,0,0,469
2006-04-10,5,330,139,0,0,0,0,474
2006-04-11,5,321,134,2,0,0,0,463
2006-04-12,5,323,133,3,0,0,0,465
2006-04-13,5,324,131,2,0,0,0,464
2006-04-14,5,321,133,4,0,0,0,464
2006-04-15,5,318,138,3,0,0,0,465
2006-04-16,5,326,136,3,0,0,0,471
2006-04-17,5,336,142,4,0,0,0,487
2006-04-18,5,343,145,4,0,0,0,498
2006-04-19,5,344,149,5,0,0,0,504
2006-04-20,5,343,155,4,0,0,0,509
2006-04-21,5,350,156,4,0,0,0,516
2006-04-22,5,335,151,4,0,0,0,495
2006-04-23,5,341,152,4,0,0,0,503
2006-04-24,5,350,154,5,0,0,0,514
2006-04-25,4,352,154,7,0,0,0,519
2006-04-26,5,346,152,6,0,0,0,511
2006-04-27,5,350,151,6,0,0,0,514
2006-04-28,5,352,151,7,0,0,0,516
2006-04-29,4,351,148,6,0,0,0,511
2006-04-30,5,349,150,7,0,0,0,511
2006-05-01,5,361,152,6,0,0,0,525
2006-05-02,4,353,149,6,0,0,0,514
2006-05-03,5,349,154,7,0,0,0,516
2006-05-04,5,343,147,7,0,0,0,503
2006-05-05,5,343,144,6,0,0,0,500
2006-05-06,5,339,145,5,0,0,0,494
2006-05-07,5,343,144,4,0,0,0,498
2006-05-08,5,363,144,5,0,0,0,518
2006-05-09,5,365,148,5,0,0,0,524
2006-05-10,5,358,149,5,0,0,0,517
2006-05-11,5,367,152,4,0,0,0,529
2006-05-12,5,355,161,3,0,0,0,525
2006-05-13,5,351,162,4,0,0,0,522
2006-05-14,5,350,163,4,0,0,0,523
2006-05-15,5,378,165,4,0,0,0,553
2006-05-16,5,371,164,4,0,0,0,545
2006-05-17,5,374,165,4,0,0,0,549
2006-05-18,5,375,171,3,0,0,0,555
2006-05-19,4,354,179,4,0,0,0,542
2006-05-20,4,363,178,4,0,0,0,550
2006-05-21,4,367,177,4,0,0,0,553
2006-05-22,4,367,178,4,0,0,0,554
2006-05-23,4,361,174,3,0,0,0,543
2006-05-24,3,348,193,4,0,0,0,550
2006-05-25,4,328,233,4,0,0,0,570
2006-05-26,4,305,237,4,0,0,0,550
2006-05-27,4,297,252,3,0,0,0,557
